Company Name,Code,Industry group,Industry type
20 Microns Ltd.,11,Minerals,1
3I Infotech Ltd.,96387,Computer software,1
3M India Ltd.,36277,"Plastic furniture, floorings & miscellaneous items",1
3P Land Holdings Ltd.,183396,Other fund based financial services,2
52 Weeks Entertainment Ltd.,218767,Production & distribution of films,1
5Paisa Capital Ltd.,384390,Securities broking,2
63 Moons Technologies Ltd.,73119,Computer software,1
7Nr Retail Ltd.,561684,Retail trading,1
7Seas Entertainment Ltd.,73721,Computer software,1
8K Miles Software Services Ltd.,167057,Computer software,1
A & M Febcon Ltd.,568471,Wholesale trading,1
A 2 Z Infra Engg. Ltd.,389178,Business services & consultancy,1
A A R Commercial Co. Ltd.,389077,Wholesale trading,1
A A R V Infratel Ltd.,162457,Wholesale trading,1
A B B India Ltd.,21420,Diversified machinery,1
A B C Bearings Ltd. [Merged],17002,General purpose machinery,1
A B C Gas (International) Ltd.,38376,Wholesale trading,1
A B C India Ltd.,289,Wholesale trading,1
A B G Shipyard Ltd.,365,Other transport equipment & ancillaries,1
A B M Knowledgeware Ltd.,415,Computer software,1
A C C Ltd.,23354,Cement,1
A C E Edutrend Ltd.,612,Education,1
A C I Infocom Ltd.,666,Wholesale trading,1
A D C India Communications Ltd.,123696,Wholesale trading,1
A D F Foods Ltd.,783,Processed foods,1
A D S Diagnostic Ltd.,830,Wholesale trading,1
A F Enterprises Ltd.,912,Other fund based financial services,2
A G C Networks Ltd.,248191,Other miscellaneous services,1
A G I Infra Ltd.,455291,Other construction & allied activities,1
A I A Engineering Ltd.,1120,Castings & forgings,1
A I Champdany Inds. Ltd.,15510,Other textiles,1
A Infrastructure Ltd.,1144,Other construction materials,1
A K Capital Services Ltd.,1317,Other fee based financial services,2
A K I India Ltd.,524226,Other leather & related products,1
A K M Lace & Embrotex Ltd.,568730,Wholesale trading,1
A K Spintex Ltd.,1621,Cloth,1
A M D Industries Ltd.,373258,"Plastic furniture, floorings & miscellaneous items",1
A M J Land Holdings Ltd.,183399,Other construction & allied activities,1
A N G Industries Ltd.,2015,Other automobile ancillaries,1
A N G Lifesciences India Ltd.,396611,Drugs & pharmaceuticals,1
A N S Inds. Ltd.,2080,Processed foods,1
A P L Apollo Tubes Ltd.,35548,Steel pipes & tubes,1
A P M Industries Ltd.,2248,Man-made filaments & fibres,1
A P T Packaging Ltd.,15646,"Plastic tubes, pipes, fittings & sheets",1
A R C Finance Ltd.,2448,Other asset financing services,2
A R S S Infrastructure Projects Ltd.,370768,Infrastructural construction,1
A S I Industries Ltd.,23482,Minerals,1
A S M Technologies Ltd.,2842,Computer software,1
A T N International Ltd.,3052,Business services & consultancy,1
A T V Projects India Ltd.,3083,Industrial construction,1
A U Small Finance Bank Ltd.,380713,Banking services,3
A V I Polymers Ltd.,3196,Wholesale trading,1
A V I Products India Ltd.,3194,Retail trading,1
A V T I L Enterprise Ltd.,20768,Other financial services,2
A V T Natural Products Ltd.,3335,Other agricultural products,1
A Y M Syntex Ltd.,271517,Man-made filaments & fibres,1
A-1 Acid Ltd.,583200,Wholesale trading,1
Aadhaar Ventures India Ltd.,183213,Other fund based financial services,2
Aadi Industries Ltd.,104518,"Plastic furniture, floorings & miscellaneous items",1
Aagam Capital Ltd.,181866,Other fund based financial services,2
Aananda Lakshmi Spg. Mills Ltd.,476851,Cotton & blended yarn,1
Aanchal Ispat Ltd.,267500,Other ferrous metal products,1
Aaradhana Realties Ltd.,69491,Other fund based financial services,2
Aarcon Facilities Ltd.,185431,Exhibition of films,1
Aarey Drugs & Pharmaceuticals Ltd.,3889,Wholesale trading,1
Aarti Drugs Ltd.,3990,Drugs & pharmaceuticals,1
Aarti Industries Ltd.,3998,Other chemical products,1
Aarvee Denims & Exports Ltd.,4024,Cloth,1
Aaswa Trading & Exports Ltd.,4132,Wholesale trading,1
Aavas Financiers Ltd.,441726,Housing finance services,2
Aayush Food & Herbs Ltd.,19597,Wholesale trading,1
Aban Offshore Ltd.,4253,Industrial construction,1
Abans Enterprises Ltd.,141626,Wholesale trading,1
Abbott India Ltd.,121704,Drugs & pharmaceuticals,1
Abhayam Trading Ltd.,18222,Other asset financing services,2
Abhijit Trading Co. Ltd.,4483,Other fund based financial services,2
Abhinav Capital Services Ltd.,4581,Other fund based financial services,2
Abhinav Leasing & Finance Ltd.,4589,Other fund based financial services,2
Abhishek Corporation Ltd.,4680,Other miscellaneous services,1
Abhishek Finlease Ltd.,380640,Other asset financing services,2
Abhishek Infraventures Ltd.,71013,Other construction & allied activities,1
Abirami Financial Services (India) Ltd.,4831,Other fund based financial services,2
Accel Ltd.,252985,Diversified,1
Accelya Kale Solutions Ltd.,114412,Computer software,1
Ace Men Engg. Works Ltd.,486075,Wholesale trading,1
Ace Software Exports Ltd.,5284,Computer software,1
Achal Investments Ltd.,292778,Other fund based financial services,2
Acil Cotton Inds. Ltd.,5994,Wholesale trading,1
Acknit Industries Ltd.,5396,Readymade garments,1
Acme Resources Ltd.,139583,Other fund based financial services,2
Acrow India Ltd.,5568,Other fund based financial services,2
Acrysil Ltd.,5574,Ceramic products,1
Action Construction Equipment Ltd.,369475,Mining & construction equipment,1
Action Financial Services (India) Ltd.,5596,Other fund based financial services,2
Active Clothing Co. Ltd.,348770,Readymade garments,1
Ad-Manum Finance Ltd.,5695,Other fund based financial services,2
Adani Enterprises Ltd.,5747,Wholesale trading,1
Adani Gas Ltd.,389247,Natural gas trading & distribution,1
Adani Green Energy Ltd.,527121,Industrial construction,1
Adani Ports & Special Economic Zone Ltd.,86597,Shipping transport infrastructure services,1
Adani Power Ltd.,5757,Conventional electricity,1
Adani Transmission Ltd.,502255,Wholesale trading,1
Adarsh Mercantile Ltd.,5838,Wholesale trading,1
Adarsh Plant Protect Ltd.,5843,Other ferrous metal products,1
Adcon Capital Services Ltd.,5888,Other fund based financial services,2
Add-Shop Promotions Ltd.,587735,Wholesale trading,1
Addi Industries Ltd.,5921,Other fund based financial services,2
Adharshila Capital Services Ltd.,6011,Other fee based financial services,2
Adhbhut Infrastructure Ltd.,6016,Business services & consultancy,1
Adhiraj Distributors Ltd.,518389,Wholesale trading,1
Adhunik Industries Ltd.,60602,Steel,1
Adhunik Metaliks Ltd.,369199,Other ferrous metal products,1
Adi Rasayan Ltd.,6097,Wholesale trading,1
Adinath Exim Resources Ltd.,6136,Other fund based financial services,2
Adinath Textiles Ltd.,6166,Diversified,1
Aditri Industries Ltd.,140727,Wholesale trading,1
Aditya Birla Capital Ltd.,385189,Other fund based financial services,2
Aditya Birla Fashion & Retail Ltd.,374960,Retail trading,1
Aditya Birla Money Ltd.,18138,Securities broking,2
Aditya Consumer Mktg. Ltd.,455417,Retail trading,1
Aditya Forge Ltd.,6342,Diversified metal & metal products,1
Aditya Ispat Ltd.,6348,Steel,1
Aditya Spinners Ltd.,6431,Cotton & blended yarn,1
Aditya Vision Ltd.,6456,Retail trading,1
Adlabs Entertainment Ltd.,407254,Other recreational & allied services,1
Ador Fontech Ltd.,6584,Miscellaneous electrical machinery,1
Ador Multiproducts Ltd.,6585,"Cosmetics, toiletries, soaps & detergents",1
Ador Welding Ltd.,6923,Miscellaneous electrical machinery,1
Adroit Infotech Ltd.,49194,Computer software,1
Advance Lifestyles Ltd.,8336,Other fund based financial services,2
Advance Metering Technology Ltd.,409835,Miscellaneous manufactured articles,1
Advance Multitech Ltd.,6767,Rubber products,1
Advance Petrochemicals Ltd.,6773,Other chemical products,1
Advance Powerinfra Tech Ltd.,140549,Wholesale trading,1
Advance Syntex Ltd.,6793,Plastic films & flexible packaging,1
Advanced Enzyme Technologies Ltd.,6819,Other chemical products,1
Advanced Micronic Devices Ltd.,6871,Wholesale trading,1
Advani Hotels & Resorts (India) Ltd.,6916,Hotels & restaurants,1
Advent Computer Services Ltd.,6953,Computer software,1
Advik Capital Ltd.,185126,Other fund based financial services,2
Advik Laboratories Ltd.,7002,Drugs & pharmaceuticals,1
Advitiya Trade India Ltd.,580446,Wholesale trading,1
Aegis Logistics Ltd.,7068,Storage & distribution,1
Aeonian Investments Co. Ltd.,7091,Other asset financing services,2
Affordable Robotic & Automation Ltd.,511742,Miscellaneous electrical machinery,1
Agarwal Industrial Corpn. Ltd.,379145,Refinery,1
Agio Paper & Inds. Ltd.,116262,Other fund based financial services,2
Agri-Tech (India) Ltd.,8083,Other fund based financial services,2
Agrimony Commodities Ltd.,207502,Wholesale trading,1
Agro Tech Foods Ltd.,8183,Vegetable oils & products,1
Ahluwalia Contracts (India) Ltd.,8312,Industrial construction,1
Ahmedabad Steelcraft Ltd.,8378,Wholesale trading,1
Aikyam Intellectual Property Consultancy Ltd.,132477,Plastic films & flexible packaging,1
Aimco Pesticides Ltd.,8523,Pesticides,1
Aishwarya Technologies & Telecom Ltd.,361289,Wholesale trading,1
Ajanta Pharma Ltd.,8893,Drugs & pharmaceuticals,1
Ajanta Soya Ltd.,8909,Vegetable oils & products,1
Ajcon Global Services Ltd.,9167,Securities broking,2
Ajel Ltd.,47227,Computer software,1
Ajmera Realty & Infra India Ltd.,223270,Other construction & allied activities,1
Ajwa Fun World & Resort Ltd.,9335,Other recreational & allied services,1
Akar Auto Inds. Ltd.,9431,Machine tools,1
Akar Laminators Ltd.,9424,Wholesale trading,1
Akashdeep Metal Inds. Ltd.,9553,Other fund based financial services,2
Akme Star Housing Finance Ltd.,417747,Housing finance services,2
Aksh Optifibre Ltd.,9793,Wires & cables,1
Akshar Spintex Ltd.,482754,Cotton & blended yarn,1
Aksharchem (India) Ltd.,24496,Dyes & pigments,1
Akzo Nobel India Ltd.,96407,Paints & varnishes,1
Alacrity Securities Ltd.,10135,Other fund based financial services,2
Alan Scott Inds. Ltd.,10220,Cloth,1
