Company Name,Code,CIN code,Year,Net sales
20 Microns Ltd.,11,L99999GJ1987PLC009768,1996,
3I Infotech Ltd.,96387,L67120MH1993PLC074411,1996,
3M India Ltd.,36277,L31300KA1987PLC013543,1996,657.9
3P Land Holdings Ltd.,183396,L74999MH1999PLC013394,1996,1178
3Rd Rock Multimedia Ltd.,491859,L74900MH2012PLC230802,1996,
52 Weeks Entertainment Ltd.,218767,L93000MH1993PLC072467,1996,1.2
5Paisa Capital Ltd.,384390,L67190MH2007PLC289249,1996,
63 Moons Technologies Ltd.,73119,L29142TN1988PLC015586,1996,48.8
7Nr Retail Ltd.,561684,L52320GJ2012PLC073076,1996,
7Seas Entertainment Ltd.,73721,L72900TG1991PLC013074,1996,
8K Miles Software Services Ltd.,167057,L72300TN1993PLC101852,1996,
A & M Febcon Ltd.,568471,L28113GJ2013PLC075662,1996,
A & M Jumbo Bags Ltd.,576805,L25202GJ2011PLC065632,1996,
A 2 Z Infra Engg. Ltd.,389178,L74999HR2002PLC034805,1996,
A A R Commercial Co. Ltd.,389077,L63090DL1982PLC354818,1996,
A A R V Infratel Ltd.,162457,L93000KA1992PLC100274,1996,52.3
A B B India Ltd.,21420,L32202KA1949PLC032923,1996,8933.9
A B C Gas (International) Ltd.,38376,L27100MH1980PLC022118,1996,26.9
A B C India Ltd.,289,L63011WB1972PLC217415,1996,867.9
A B G Shipyard Ltd.,365,L61200GJ1985PLC007730,1996,604.6
A B Infrabuild Ltd.,421866,U45202MH2011PLC214834,1996,
A B M International Ltd.,414,L51909DL1983PLC015585,1996,
A B M Knowledgeware Ltd.,415,L67190MH1993PLC113638,1996,
A B N Intercorp Ltd.,521498,L55101DL2005PLC140406,1996,
A C C Ltd.,23354,L26940MH1936PLC002515,1996,19758
A C E Edutrend Ltd.,612,L29299DL1993PLC201811,1996,
A C I Infocom Ltd.,666,L72200MH1982PLC175476,1996,214.9
A D C India Communications Ltd.,123696,L32209KA1988PLC009313,1996,215
A D F Foods Ltd.,783,L15400GJ1990PLC014265,1996,565.6
A D S Diagnostic Ltd.,830,L85110DL1984PLC018486,1996,15.8
A F Enterprises Ltd.,912,L18100DL1983PLC016354,1996,
A G C Networks Ltd.,248191,L32200MH1986PLC040652,1996,1034.3
A G I Infra Ltd.,455291,L45200PB2005PLC028466,1996,
A I A Engineering Ltd.,1120,L29259GJ1991PLC015182,1996,
A I Champdany Inds. Ltd.,15510,L51909WB1917PLC002767,1996,686.6
A Infrastructure Ltd.,1144,L25191RJ1980PLC002077,1996,206.3
A K Capital Services Ltd.,1317,L74899MH1993PLC274881,1996,
A K G Exim Ltd.,485275,L00063DL2005PLC139045,1996,
A K I India Ltd.,524226,U19201UP1994PLC016467,1996,
A K M Lace & Embrotex Ltd.,568730,L17291DL2009PLC196375,1996,
A K Spintex Ltd.,1621,L17117RJ1994PLC008916,1996,
A M D Industries Ltd.,373258,L28122DL1983PLC017141,1996,
A M J Land Holdings Ltd.,183399,L21012MH1964PLC013058,1996,1222.7
A N G Industries Ltd.,2015,L51909DL1991PLC045084,1996,34.4
A N G Lifesciences India Ltd.,396611,L24230PB2006PLC030341,1996,
A N S Inds. Ltd.,2080,L15130HR1994PLC032362,1996,
A P L Apollo Tubes Ltd.,35548,L74899DL1986PLC023443,1996,
A P M Finvest Ltd.,558584,U65990RJ2016PLC054921,1996,
A P M Industries Ltd.,2248,L21015RJ1973PLC015819,1996,736.9
A P T Packaging Ltd.,15646,L24100MH1980PLC022746,1996,158.7
A R C Finance Ltd.,2448,L51909WB1982PLC035283,1996,
A R S S Infrastructure Projects Ltd.,370768,L14103OR2000PLC006230,1996,
A S I Industries Ltd.,23482,L14101MH1945PLC256122,1996,284.6
A S L Industries Ltd.,560307,L36900WB1992PLC099901,1996,
A S M Technologies Ltd.,2842,L85110KA1992PLC013421,1996,124
A T N International Ltd.,3052,L65993WB1983PLC080793,1996,
A T V Projects India Ltd.,3083,L99999MH1987PLC042719,1996,2708.1
A U Small Finance Bank Ltd.,380713,L36911RJ1996PLC011381,1996,
A V G Logistics Ltd.,463750,L60200DL2010PLC198327,1996,
A V I Polymers Ltd.,3196,L27204JH1993PLC005233,1996,
A V I Products India Ltd.,3194,L24200MH1989PLC050913,1996,40.8
A V S L Industries Ltd.,546359,L18101DL2003PLC121698,1996,
A V T I L Enterprise Ltd.,20768,L70100MH1982PLC027263,1996,
A V T Natural Products Ltd.,3335,L15142TN1986PLC012780,1996,620.4
A Y M Syntex Ltd.,271517,L99999DN1983PLC000045,1996,975.2
A-1 Acid Ltd.,583200,L24119GJ2004PLC044011,1996,
Aadhaar Ventures India Ltd.,183213,L67120GJ1995PLC024449,1996,
Aadi Industries Ltd.,104518,U25203MH1994PLC206053,1996,
Aagam Capital Ltd.,181866,L65990MH1991PLC064631,1996,
Aakash Exploration Services Ltd.,581466,L23209GJ2007PLC049792,1996,
Aananda Lakshmi Spg. Mills Ltd.,476851,L17121TG2013PLC086564,1996,
Aanchal Ispat Ltd.,267500,L27106WB1996PLC076866,1996,
Aar Shyam (India) Invst. Co. Ltd.,3821,L67120DL1983PLC015266,1996,
Aaradhana Realties Ltd.,69491,U70100MH1976PLC034721,1996,
Aarcon Facilities Ltd.,185431,L65910GJ1993PLC019057,1996,
Aarey Drugs & Pharmaceuticals Ltd.,3889,L99999MH1990PLC056538,1996,
Aarnav Fashions Ltd.,118613,L17100GJ1983PLC028990,1996,
Aaron Industries Ltd.,589116,L31908GJ2013PLC077306,1996,
Aartech Solonics Ltd.,3972,U31200MP1982PLC002030,1996,
Aarti Drugs Ltd.,3990,L37060MH1984PLC055433,1996,769
Aarti Industries Ltd.,3998,L24110GJ1984PLC007301,1996,1192.5
Aarvee Denims & Exports Ltd.,4024,L17110GJ1988PLC010504,1996,919.1
Aarvi Encon Ltd.,4030,L29290MH1987PLC045499,1996,
Aaswa Trading & Exports Ltd.,4132,L51100GJ1984PLC024704,1996,31.3
Aavas Financiers Ltd.,441726,L65922RJ2011PLC034297,1996,
Aayush Food & Herbs Ltd.,19597,L01122DL1984PLC018307,1996,
Aban Offshore Ltd.,4253,L01119TN1986PLC013473,1996,1423.2
Abans Enterprises Ltd.,141626,L74120MH1985PLC035243,1996,
Abbott India Ltd.,121704,L24239MH1944PLC007330,1996,1865.9
Abhayam Trading Ltd.,18222,L51900TN1988PLC016275,1996,-0.1
Abhijit Trading Co. Ltd.,4483,L51909DL1982PLC241785,1996,
Abhinav Capital Services Ltd.,4581,L65990MH1994PLC083603,1996,
Abhinav Leasing & Finance Ltd.,4589,L65100DL1984PLC018748,1996,
Abhishek Corporation Ltd.,4680,L51491PN1993PLC073706,1996,
Abhishek Finlease Ltd.,380640,L67120GJ1995PLC024566,1996,
Abhishek Infraventures Ltd.,71013,L45204TG1984PLC111447,1996,
Abirami Financial Services (India) Ltd.,4831,L65993TN1993PLC024861,1996,1
Accel Ltd.,252985,L30007TN1986PLC100219,1996,112.9
Accelya Solutions India Ltd.,114412,L74140PN1986PLC041033,1996,
Accord Synergy Ltd.,565063,L45200GJ2014PLC079847,1996,
Accuracy Shipping Ltd.,556991,U52321GJ2008PLC055322,1996,
Ace Integrated Solutions Ltd.,566084,L74140DL1997PLC088373,1996,
Ace Men Engg. Works Ltd.,486075,L27109GJ1980PLC100420,1996,
Ace Software Exports Ltd.,5284,L72200GJ1994PLC022781,1996,12
Acewin Agriteck Ltd.,529902,L72300KA2008PLC045897,1996,
Achal Investments Ltd.,292778,L65993DL1980PLC010636,1996,
Acil Cotton Inds. Ltd.,5994,L99999GJ1994PLC022000,1996,237.9
Acknit Industries Ltd.,5396,L01113WB1990PLC050020,1996,35.8
Acme Resources Ltd.,139583,L65993DL1985PLC314861,1996,
Acrow India Ltd.,5568,L13100MH1960PLC011601,1996,23.8
Acrysil Ltd.,5574,L26914MH1987PLC042283,1996,63.6
Action Construction Equipment Ltd.,369475,L74899HR1995PLC053860,1996,
Action Financial Services (India) Ltd.,5596,L65944MH1992PLC068879,1996,
Active Clothing Co. Ltd.,348770,L51311PB2002PLC033422,1996,
Ad-Manum Finance Ltd.,5695,L52520MP1986PLC003405,1996,8.8
Adani Enterprises Ltd.,5747,L51100GJ1993PLC019067,1996,11345
Adani Gas Ltd.,389247,U40100GJ2005PLC046553,1996,
Adani Green Energy Ltd.,527121,L40106GJ2015PLC082007,1996,
Adani Ports & Special Economic Zone Ltd.,86597,L63090GJ1998PLC034182,1996,
Adani Power Ltd.,5757,L40100GJ1996PLC030533,1996,
Adani Transmission Ltd.,502255,L40300GJ2013PLC077803,1996,
Adarsh Mercantile Ltd.,5838,L51109WB1992PLC055082,1996,
Adarsh Plant Protect Ltd.,5843,L29210GJ1992PLC017845,1996,4.2
Adcon Capital Services Ltd.,5888,L67120MP1994PLC008511,1996,0.2
Add-Shop Promotions Ltd.,587735,U51109GJ2013PLC076482,1996,
Addi Industries Ltd.,5921,L51109DL1980PLC256335,1996,182.1
Adharshila Capital Services Ltd.,6011,L74899DL1993PLC056347,1996,
Adhbhut Infrastructure Ltd.,6016,L51503DL1985PLC020195,1996,
Adhiraj Distributors Ltd.,518389,L52190WB2011PLC158320,1996,
Adhunik Industries Ltd.,60602,L27100WB1979PLC032200,1996,
Adhunik Metaliks Ltd.,369199,L28110OR2001PLC017271,1996,
Adinath Exim Resources Ltd.,6136,L51909GJ1995PLC024300,1996,1
Adinath Textiles Ltd.,6166,L17115PB1979PLC003910,1996,280.9
Aditri Industries Ltd.,140727,L36999GJ1995PLC025177,1996,
Aditya Birla Capital Ltd.,385189,L67120GJ2007PLC058890,1996,
Aditya Birla Fashion & Retail Ltd.,374960,L18101MH2007PLC233901,1996,
Aditya Birla Money Ltd.,18138,L65993GJ1995PLC064810,1996,
Aditya Consumer Mktg. Ltd.,455417,L52190BR2002PLC009872,1996,
Aditya Forge Ltd.,6342,L27100GJ1992PLC017196,1996,
Aditya Ispat Ltd.,6348,L27109TG1990PLC012099,1996,18.8
Aditya Spinners Ltd.,6431,L40300AP1991PLC012337,1996,161
Aditya Vision Ltd.,6456,L32109BR1999PLC008783,1996,
Adlabs Entertainment Ltd.,407254,L92490MH2010PLC199925,1996,
Ador Fontech Ltd.,6584,L31909KA1974PLC020010,1996,316.1
Ador Multiproducts Ltd.,6585,L85110MH1948PLC310253,1996,167.2
Ador Welding Ltd.,6923,L70100MH1951PLC008647,1996,1876.3
